boj,rating1,cp,rating2
anchor,1676,anchor_drop,1463
ykm1256,1676,ykm1256,47
yhkee0404,1675,yhkee0404,754
red6855,1670,yechan6855,106
protarie,1668,arieprot,849
rlehd1213,1668,shineme,106
eden0821,1666,cywin,26
jaehaaheaj,1666,jaehaaheaj,883
rokso22,1663,rokso,728
meow,1662,4d656f77,46
captain6700,1661,captain6700,117
hang,1660,hangs,209
jhyub,1659,jhyub,83
pieces98,1659,pieces98,492
hermit236,1658,Notepad,58
jamjoa,1655,ggyul,308
hyunseokcheong,1653,hyunseokcheong,151
spongbob9876,1653,McDic,1371
osh1795,1650,osh0301,738
vladimirgluten,1650,vladimirgluten,503
didgogns,1646,didgogns,2162
vice_versa,1642,vice_versa,668
pengoosedev,1641,pengoose,190
percy98,1640,JehunYoo,16
yuris,1633,Yuris,1055
usb9245,1632,usb9245,2004
kazuha2048,1630,devFriox,53
woo9901,1629,thsrhwk01,472
lhs456852,1624,baekdu,737
rlatjwls3333,1624,rlatjwls7882,306
kosnoa,1622,kosnoa,2
minjunnick,1621,minjunnick,13
jdeokkim,1619,jdeokkim,11
fjvbn2003,1617,fjvbn2003,188
geniemo,1617,Geniemo,151
uyk0329,1616,uyk0329,667
phg0324,1614,phg0324,212
quizoverflow,1614,quizoverflow,14
minjoonist,1612,n_Flamel,77
djw0409,1610,djw0409,875
ghwns9652,1603,onestep,47
sky_yoon1,1602,sky_yoon1,2
chasin_star,1600,ChasingStar,168
ehdghks12,1600,TTobe,371
dkscltks,1598,dkscltks,17
ohhamma,1598,ohhamma,103
gj3034,1596,gj3034,424
sea5812,1596,sea5812,113
cyp0922,1595,yunpyo,8
kimhj4485,1594,KHJcode,142
junesup1212,1578,KKhajiit,461
jheun66,1574,jheun66,772
jakads,1570,Jakads,41
dddddd6,1567,byurak,1681
harry0558,1564,sehyun_0x1D,477
hk1554,1562,kimyunseok,67
tjdls111,1559,peachy,0
indexerror,1554,IndexError,210
hotspring,1546,hotspring92,10
khanjhy,1543,khanjhy,419
lloydkwak,1538,lloydkwak,116
dlrmsdn135,1537,lkwoo,44
heeboy007,1533,heeboy007,12
yuanie,1531,Yuanie,785
yujinmon,1530,Trixie_,185
dec0dedd,1529,dec0dedd,1790
7mercenary,1527,Najin_Nagne,173
sayakamiru,1521,kamiru,858
qmamsm123,1514,taejeong,203
acm2209,1505,acm0209,309
tankgewehr,1503,tankgewehr,71
moralbook,1500,moralbook,78
chocopy,1499,chocoPy,190
pjw9777,1492,wanawana07,441
karinohito,1487,karinohito,2415
tjsdnr960,1486,tjsdnr960,11
carrykim,1476,carrykim,101
sonjungwoo9,1474,dokdo,69
movegreen,1465,MoveGreen,447
wdj0729,1464,wdj0729,392
cwyang,1458,cwyang,702
naixt1478,1457,naixt1478,8
papergundam,1457,papergundam,221
wasa855,1456,wasa855,2650
worung,1454,cakenpeace,16
dnjstjr0227,1443,wondol,718
raon09,1441,raon,553
hyotaime,1433,koune59,18
toycartoon,1433,toycartoon,23
wrynn,1433,Wrynn,291
dfnm369,1425,Konpa,50
kyh012412,1406,kyh012412,20
mgn1440,1403,mgn1440,82
byungmeo,1394,byungmeo,432
ischar,1388,ischar,97
exon,1386,exon,22
dormi,1383,Dormi,1784
lsb918,1368,leesb,197
justinkmoon1,1362,justinkmoon1,3
dx0802,1356,qgasdg,238
dlalsdn1009,1349,ssammwu,21
toxinmayo,1348,toxinmayo,83
dioon0000,1342,dioon,2
lse2625,1337,lse2625,52
gk417,1336,gk417,16
res1235,1314,res1235,536
chosh2001,1303,whqtker,78
thdwlsdn030818,1301,starRight,8
zuiverloon,1298,Zuiverloon,1200
onejajae,1293,onejajae,250
swthewhite,1290,swthewhite,7
applemint,1288,applemint,126
lemontree1729,1285,lemontree1729,425
yhs05323,1272,ssggyu,702
jhcse5189,1258,bammer,16
dksms1,1253,codel123,29
qttw456,1249,qttw456,392
bombard1004,1242,bombard1004,1299
scottsuk0306,1241,scottsuk0306,429
stdev17,1240,Shell_b,154
soye0822,1224,soye0822,222
jshname,1213,NormalPlayerJSH,57
khj1999,1208,pinch,3
haribokim23,1197,haribokim23,5
wogns1733,1186,Anmyeondo,199
steve06,1176,Pangdori,97
hwanseok_dev,1169,hwanseok,31
scolpionbell,1163,dfvas,13
ydnactnim,1163,ydnactnim,274
nay0901,1155,ah00ee,62
n_o_n_o_n,1151,n_o_n_o_n,1691
ldj050101,1146,limdongju,150
thinkingdobby,1141,TeJava,704
zlfn,1137,zlfn,88
singularis7,1136,singularis7,31
bythedoor2,1121,reloading,1000
rlawndks4,1113,RedJuan,543
banlxx,1102,banlxx,2
gorgeousfriend,1094,SunnySummer,119
chihiro888,1083,chihiro888,208
antisevlll,1077,sevlll777,2058
redmountain,1059,rM_,739
arcsch06,999,arcsch06,20
